X Handle,Followers,Chain Preference,Rating,Sentiment Score,Organic Engagement Score,Engagement Drop %,Bot Level,Bot Icon,Sentiment Reason,Notes,Wankr Roast Priority
@beaniemaxi,200k+,Solana,🚩,3,1,82,5,🤖🤖🤖🤖🤖,Classic Solana degen who farms then dumps on followers,Solana shill & meme coin hunter,10
@CryptoGodJohn,690k+,Solana,🚩,2,1,79,5,🤖🤖🤖🤖🤖,Known for airdrop farming + dumping on community,Meme coins & airdrop hunts,10
@CryptoBirb,200k+,Solana,🚩,3,1,78,5,🤖🤖🤖🤖🤖,Most replies believed to be botted,Signals & memes,10
@CryptoRover,1.1M+,Solana,🚩,4,1,76,5,🤖🤖🤖🤖🤖,Frequent paid shilling & bag dumping,Heavy alt shilling,10
@AnsemBull,300k+,Solana,🚩,3,1,75,5,🤖🤖🤖🤖🤖,Pumps memecoins that leave holders rekt,Solana degen king,10
@CryptoSquire,537k+,Solana,🚩,2,1,74,5,🤖🤖🤖🤖🤖,Heavy paid promo & shill accusations,Heavy promotion,10
@CryptoYoda1338,100k+,Solana,🚩,2,2,72,5,🤖🤖🤖🤖🤖,Mystic LARP who dumps after hyping visions,Mystic predictions,9
@CryptoCapo_,400k+,Bitcoin,🚩,4,2,71,5,🤖🤖🤖🤖🤖,Polarizing bear who rugs own community,Bearish takes,9
@CryptoKaleo,600k+,Solana + Altcoins,🚩,4,2,69,5,🤖🤖🤖🤖🤖,History of hyping projects that rug,Chart patterns & alt picks,9
@CryptoCobain,1.2M+,Solana + Memecoins,🚩,4,2,68,5,🤖🤖🤖🤖🤖,Repeated pump & dump accusations,Trader memes & shitcoin calls,9
@themooncarl,1.5M+,Bitcoin,🚩,5,3,65,3,🤖🤖🤖,Repeatedly wrong BTC predictions,Bitcoin maxi predictions,8
@CryptoRubi,120k+,Ethereum + Solana,🚩,3,3,63,3,🤖🤖🤖,Pumps NFTs that floor to zero,NFT/Web3 takes,8
@BitBoy_Crypto,1M+,Multi-chain,🚩,2,3,62,3,🤖🤖🤖,Multiple paid promo & drama scandals,Drama channel,8
@Ashcryptoreal,1.4M+,Solana + Memecoins,🚩,3,3,61,3,🤖🤖🤖,Heavy low-quality shilling,Heavy shilling,8
@MartiniGuyYT,662k+,Multi-chain,🚩,3,3,60,3,🤖🤖🤖,High-risk calls that rug followers,Live trading,8
@degenSpartan,320k+,Solana,🚩,4,3,68,3,🤖🤖🤖,Exit liquidity style alpha calls,Popular degen alpha caller,8
@0xGumshoe,180k+,Solana,🚩,4,3,65,3,🤖🤖🤖,Frequent Solana memecoin shills,Meme/alpha caller,8
@friendtech,450k+,Base,🚩,4,3,72,3,🤖🤖🤖,Massive past SocialFi rug drama,SocialFi (past drama),8
@basedchad,280k+,Base,🚩,4,3,70,3,🤖🤖🤖,Pure degen pump & dump energy,Base meme degen,8
@Toshi,220k+,Base,🚩,4,4,62,3,🤖🤖🤖,Heavy memecoin shilling on Base,Base meme project,7
@0xFar,250k+,Base,🚩,5,4,58,3,🤖🤖🤖,Base ecosystem pumper with paid vibes,Base ecosystem caller,7
@Basefrens,150k+,Base,🚩,4,4,65,3,🤖🤖🤖,Strong botted engagement accusations,Base meme community,7
@VitalikButerin,5.2M+,Ethereum,✅,10,9,18,1,🤖,Ethereum co-founder actual builder,Ethereum,2
@cz_binance,8M+,Multi-chain,✅,7,9,17,1,🤖,Binance updates mostly legit,BNB Chain,2
@saylor,4.1M+,Bitcoin,✅,9,9,15,1,🤖,MicroStrategy BTC maxi,Bitcoin,2
@CoinBureau,1M+,Multi-chain,✅,9,9,22,1,🤖,Balanced in-depth reviews,Multi-chain,2
@intocryptoverse,1.1M+,Multi-chain,✅,9,9,21,1,🤖,On-chain data & macro,Multi-chain,2
@woonomic,500k+,Bitcoin,✅,9,9,20,1,🤖,On-chain wizard,Bitcoin,2
@WatcherGuru,385k+,Multi-chain,✅,9,9,19,1,🤖,Fastest breaking news,Multi-chain,2
@APompliano,1.7M+,Bitcoin,✅,9,9,16,1,🤖,Macro + Bitcoin education,Bitcoin,2
@solana,1.2M+,Solana,✅,10,9,15,1,🤖,Official Solana account,Solana,2
@base,950k+,Base,✅,10,9,16,1,🤖,Official Base account,Base,2
@jessepollak,420k+,Base,✅,10,9,14,1,🤖,Base creator,Base,2
@Pentosh1,500k+,Multi-chain,✅,8,8,24,1,🤖,Macro views low-key,Multi-chain,3
@CryptoCred,700k+,Multi-chain,✅,9,8,25,1,🤖,Trading psychology educator,Multi-chain,3
@CryptoMichNL,770k+,Multi-chain,✅,8,8,28,1,🤖,Altcoin spotter builder energy,Multi-chain,3
@CryptoChase,200k+,Multi-chain,✅,8,8,27,1,🤖,TA breakdowns educational,Multi-chain,3
@CryptoDonAlt,400k+,Multi-chain,🤷‍♂️,6,6,42,2,🤖🤖,Solid TA but shady project ties,Chart wizard,5
@CryptoHayes,470k+,Multi-chain,🤷‍♂️,6,6,41,2,🤖🤖,Smart but risky advice,Multi-chain,5
@IvanOnTech,492k+,Multi-chain,🤷‍♂️,6,5,47,2,🤖🤖,Promotes own products heavily,Educational,6
@LayahHeilpern,701k+,Multi-chain,🤷‍♂️,6,5,45,2,🤖🤖,Sometimes sponsored,Entertaining,6
@CryptoNewton,150k+,Multi-chain,🤷‍♂️,5,6,44,2,🤖🤖,Questionable affiliations,Physics-themed TA,5
@CryptoEd_NL,100k+,Multi-chain,🤷‍♂️,5,6,43,2,🤖🤖,Ties to paid groups,Wave analysis,5
@CryptoTony__,300k+,Multi-chain,🤷‍♂️,5,5,49,2,🤖🤖,Mixed futures signals,Futures trading,6
@CryptoWendyO,300k+,Multi-chain,✅,8,8,25,1,🤖,Female trader educational,Multi-chain,3
@CryptoWhale,500k+,Multi-chain,🤷‍♂️,6,6,40,2,🤖🤖,Whale alerts useful but front-running,Multi-chain,5
@elonmusk,180M+,Multi-chain,🤷‍♂️,6,7,12,1,🤖,Doge pumper chaos agent,Memes,4
